event layer r x y z
67 3 565.56 522.01 217.632 159.143
67 4 760.174 699.714 297.092 221.069
67 5 766.758 705.761 299.698 220.71
67 6 999.234 918.324 393.89 269.606
67 7 1005.81 924.329 396.575 318.557
68 1 400.025 329.291 227.129 -12.3748
68 2 559.019 475.906 293.284 12.8321
68 3 565.428 481.748 296.02 36.9682
68 4 761.274 660.593 378.358 73.5825
68 5 767.863 666.303 381.646 72.9623
68 6 1001.49 877.42 482.824 123.505
68 7 1008.12 883.097 486.264 122.268
69 0 290.376 247.214 152.327 83.6515
69 1 390.719 343.498 186.201 110.124
69 2 566.728 510.017 247.111 135.867
69 3 573.233 516.114 249.444 134.11
69 4 764.906 695.955 317.377 171.989
69 5 771.458 702.024 319.858 170.56
69 6 1001.36 916.283 403.923 221.489
69 7 1007.99 922.238 406.855 220.284
70 0 292.621 260.878 132.551 217.806
70 1 389.758 345.544 180.307 256.345
70 2 553.137 486.664 262.905 280.569
70 3 559.597 492.464 265.759 282.186
70 4 758.91 663.78 367.888 367.298
70 5 765.736 669.16 372.26 367.217
70 6 1004.94 872.983 497.804 417.911
70 7 1011.59 878.638 501.316 415.86
71 0 289.304 275.349 88.7676 158.553
71 1 397.231 372.782 137.207 183.539
71 2 558.125 516.715 210.97 232.911
71 3 564.928 522.565 214.639 233.031
71 4 762.781 697.592 308.546 269.755
71 5 769.475 703.551 311.62 268.778
71 6 1007.26 911.061 429.587 320.17
71 6 989.684 895.834 420.661 317.819
71 7 996.193 901.682 423.522 319.97
72 1 403.551 396.665 74.233 159.96
72 2 555.997 543.644 116.55 208.434
72 3 562.614 550.019 118.379 209.148
72 4 769.195 749.827 171.523 270.43
72 5 775.879 756.318 173.118 268.105
72 4 750.922 732.135 166.918 268.15
72 5 757.481 738.439 168.779 270.397
72 6 998.62 972.85 225.397 319.144
72 7 1004.98 979.26 225.892 318.665
73 0 290.813 262.339 125.501 132.953
73 1 402.605 370.557 157.412 159.876
73 1 402.714 370.516 157.787 159.885
73 2 556.095 518.622 200.68 208.447
73 3 562.53 524.811 202.518 209.16
73 4 770.176 725.646 258.087 270.527
73 5 776.739 731.949 259.948 268.02
73 4 751.77 707.852 253.185 268.291
73 5 758.26 713.991 255.294 270.268
73 6 1000.24 948.607 317.202 319.35
73 7 1006.55 954.965 318.105 318.462
74 0 292.451 261.009 131.915 -64.3515
74 0 292.457 261.004 131.939 -58.3515
74 0 292.66 260.847 132.698 -65.2765
74 0 294.727 259.321 140.058 -65.5932
74 1 407.744 368.722 174.067 -35.8886
74 1 387.928 350.221 166.831 -38.2263
74 2 562.317 513.231 229.77 13.2168
74 3 568.805 519.351 231.98 12.3807
74 4 760.872 699.132 300.235 73.5354
74 5 767.378 705.243 302.492 73.0192
74 6 997.049 920.526 383.066 122.935
74 7 1003.57 926.591 385.456 171.235
75 1 398.784 330.85 222.637 85.7016
75 2 557.941 477.653 288.351 134.888
75 3 564.256 483.662 290.613 135.117
75 3 564.423 483.385 291.396 135.096
75 4 758.974 663.692 368.177 171.306
75 5 765.404 669.621 370.744 171.259
75 6 996.089 885.073 456.989 220.804
75 7 1002.5 891.071 459.344 220.998
