event barcode charge pt d0
729 10001 -1 5566.86 -6.39523
730 10001 1 8745.86 -0.776122
731 10001 1 34794.9 17.8638
732 10001 -1 41795.8 -66.4659
733 10001 -1 5274.02 -32.3585
734 10001 -1 5760.2 -93.6239
735 10001 -1 5913.82 -27.5747
736 10001 -1 6327.0 -57.0279
737 10001 -1 13823.0 90.4239
738 10001 -1 7211.55 32.0917
739 10001 1 37989.9 -4.4539
740 10001 -1 5108.33 -5.33938
741 10001 -1 7298.51 -1.68064
742 10001 -1 6980.77 -37.9751
743 10001 1 103523.0 70.2379
744 10001 1 5137.38 87.9657
745 10001 1 7543.51 -99.8002
746 10001 1 7642.57 -39.6067
747 10001 1 15417.7 -30.7832
748 10001 1 11782.6 16.0664
749 10001 1 5570.23 59.8252
750 10001 -1 178846.0 -96.0184
751 10001 -1 7101.69 63.5996
752 10001 -1 22475.1 -80.5706
753 10001 -1 5139.71 29.9163
754 10001 1 12868.3 -55.1724
755 10001 -1 10704.3 68.3613
756 10001 1 5371.34 -96.1196
757 10001 -1 7877.0 84.8781
758 10001 -1 10137.0 -17.5793
759 10001 1 5961.08 41.6432
760 10001 1 9603.13 -70.2527
761 10001 -1 8582.33 67.2364
762 10001 -1 23038.5 -95.7435
763 10001 1 13028.1 -97.2486
764 10001 1 5150.11 91.0429
765 10001 -1 185690.0 34.9626
766 10001 1 14354.5 14.1149
767 10001 1 13158.5 62.7109
768 10001 -1 6339.19 -45.9675
769 10001 -1 9421.46 -59.7374
770 10001 1 29952.5 88.8549
771 10001 -1 34579.6 -98.7175
772 10001 1 24620.6 23.2698
773 10001 1 85951.4 14.303
774 10001 1 5078.17 -58.861
775 10001 -1 5328.98 -15.0583
776 10001 1 9059.51 -75.383
777 10001 -1 13878.8 65.4278
